Date,Barangay,DayOfWeek,Month,IsWeekend,Population,Total_Waste_kg
2024-01-07,Payasan,6,1,1,2623,445.29
2024-01-07,Poblacion,6,1,1,4602,813.69
2024-01-07,Saint Christine,6,1,1,3061,534.43
2024-01-07,San Pedro,6,1,1,1466,250.17
2024-01-07,San Isidro,6,1,1,1215,214.66
2024-01-08,Anibongan,0,1,0,1264,200.87
2024-01-08,Banahao,0,1,0,2617,385.48
2024-01-08,Ban-as,0,1,0,1758,252.82
2024-01-08,Baucawe,0,1,0,1497,233.82
2024-01-08,Diatagon,0,1,0,7552,1099.76
2024-01-08,Ganayon,0,1,0,1258,195.93
2024-01-08,Liatimco,0,1,0,2082,321.29
2024-01-08,Manyayay,0,1,0,2548,365.66
2024-01-08,Payasan,0,1,0,2623,403.95
2024-01-08,Poblacion,0,1,0,4602,750.79
2024-01-08,Saint Christine,0,1,0,3061,498.22
2024-01-08,San Pedro,0,1,0,1466,219.36
2024-01-08,San Isidro,0,1,0,1215,193.64
2024-01-09,Anibongan,1,1,0,1264,194.84
2024-01-09,Banahao,1,1,0,2616,393.5
2024-01-09,Ban-as,1,1,0,1758,265.8
2024-01-09,Baucawe,1,1,0,1497,244.8
2024-01-09,Diatagon,1,1,0,7552,1090.34
2024-01-09,Ganayon,1,1,0,1258,182.15
2024-01-09,Liatimco,1,1,0,2082,301.4
2024-01-09,Manyayay,1,1,0,2548,406.33
2024-01-09,Payasan,1,1,0,2623,407.55
2024-01-09,Poblacion,1,1,0,4601,715.28
2024-01-09,Saint Christine,1,1,0,3061,456.09
2024-01-09,San Pedro,1,1,0,1466,218.6
2024-01-09,San Isidro,1,1,0,1215,196.14
2024-01-10,Anibongan,2,1,0,1264,191.64
2024-01-10,Banahao,2,1,0,2616,409.62
2024-01-10,Ban-as,2,1,0,1758,259.05
2024-01-10,Baucawe,2,1,0,1497,216.32
2024-01-10,Diatagon,2,1,0,7551,1156.67
2024-01-10,Ganayon,2,1,0,1258,197.09
2024-01-10,Liatimco,2,1,0,2082,329.28
2024-01-10,Manyayay,2,1,0,2548,401.0
2024-01-10,Payasan,2,1,0,2623,417.79
2024-01-10,Poblacion,2,1,0,4601,698.56
2024-01-10,Saint Christine,2,1,0,3061,499.35
2024-01-10,San Pedro,2,1,0,1466,213.1
2024-01-10,San Isidro,2,1,0,1215,191.25
2024-01-11,Anibongan,3,1,0,1263,190.18
2024-01-11,Banahao,3,1,0,2616,403.71
2024-01-11,Ban-as,3,1,0,1758,269.81
2024-01-11,Baucawe,3,1,0,1497,242.08
2024-01-11,Diatagon,3,1,0,7551,1154.81
2024-01-11,Ganayon,3,1,0,1258,187.78
2024-01-11,Liatimco,3,1,0,2082,318.02
2024-01-11,Manyayay,3,1,0,2548,402.84
2024-01-11,Payasan,3,1,0,2623,385.03
2024-01-11,Poblacion,3,1,0,4601,689.01
2024-01-11,Saint Christine,3,1,0,3061,461.57
2024-01-11,San Pedro,3,1,0,1466,210.8
2024-01-11,San Isidro,3,1,0,1215,196.43
2024-01-12,Anibongan,4,1,0,1263,197.11
2024-01-12,Banahao,4,1,0,2616,374.87
2024-01-12,Ban-as,4,1,0,1758,281.94
2024-01-12,Baucawe,4,1,0,1497,235.99
2024-01-12,Diatagon,4,1,0,7551,1155.17
2024-01-12,Ganayon,4,1,0,1258,196.51
2024-01-12,Liatimco,4,1,0,2082,319.37
2024-01-12,Manyayay,4,1,0,2548,399.55
2024-01-12,Payasan,4,1,0,2623,425.59
2024-01-12,Poblacion,4,1,0,4601,752.99
2024-01-12,Saint Christine,4,1,0,3061,500.48
2024-01-12,San Pedro,4,1,0,1466,237.22
2024-01-12,San Isidro,4,1,0,1215,185.25
2024-01-13,Anibongan,5,1,1,1263,209.09
2024-01-13,Banahao,5,1,1,2616,403.38
2024-01-13,Ban-as,5,1,1,1758,304.15
2024-01-13,Baucawe,5,1,1,1497,251.17
2024-01-13,Diatagon,5,1,1,7551,1227.79
2024-01-13,Ganayon,5,1,1,1258,197.06
2024-01-13,Liatimco,5,1,1,2082,334.66
2024-01-13,Manyayay,5,1,1,2548,415.76
2024-01-13,Payasan,5,1,1,2623,430.91
2024-01-13,Poblacion,5,1,1,4601,781.75
2024-01-13,Saint Christine,5,1,1,3061,502.98
2024-01-13,San Pedro,5,1,1,1466,252.2
2024-01-13,San Isidro,5,1,1,1215,211.9
2024-01-14,Anibongan,6,1,1,1263,219.98
2024-01-14,Banahao,6,1,1,2616,463.05
2024-01-14,Ban-as,6,1,1,1758,291.27
2024-01-14,Baucawe,6,1,1,1497,257.58
2024-01-14,Diatagon,6,1,1,7550,1204.87
2024-01-14,Ganayon,6,1,1,1257,214.62
2024-01-14,Liatimco,6,1,1,2082,366.43
2024-01-14,Manyayay,6,1,1,2548,404.94
2024-01-14,Payasan,6,1,1,2623,459.14
2024-01-14,Poblacion,6,1,1,4601,744.08
2024-01-14,Saint Christine,6,1,1,3060,492.54
2024-01-14,San Pedro,6,1,1,1466,241.16
2024-01-14,San Isidro,6,1,1,1215,198.84
2024-01-15,Anibongan,0,1,0,1263,182.35
2024-01-15,Banahao,0,1,0,2616,422.95
2024-01-15,Ban-as,0,1,0,1758,255.53
2024-01-15,Baucawe,0,1,0,1497,242.13
2024-01-15,Diatagon,0,1,0,7550,1217.21
2024-01-15,Ganayon,0,1,0,1257,187.37
2024-01-15,Liatimco,0,1,0,2082,318.18
2024-01-15,Manyayay,0,1,0,2548,371.77
2024-01-15,Payasan,0,1,0,2623,414.92
2024-01-15,Poblacion,0,1,0,4601,707.56
2024-01-15,Saint Christine,0,1,0,3060,490.47
2024-01-15,San Pedro,0,1,0,1465,232.5
2024-01-15,San Isidro,0,1,0,1214,185.46
2024-01-16,Anibongan,1,1,0,1263,183.24
2024-01-16,Banahao,1,1,0,2616,408.26
2024-01-16,Ban-as,1,1,0,1757,284.65
2024-01-16,Baucawe,1,1,0,1497,218.02
2024-01-16,Diatagon,1,1,0,7550,1104.2
2024-01-16,Ganayon,1,1,0,1257,185.74
2024-01-16,Liatimco,1,1,0,2082,320.27
2024-01-16,Manyayay,1,1,0,2548,384.87
2024-01-16,Payasan,1,1,0,2623,419.24
2024-01-16,Poblacion,1,1,0,4600,675.24
2024-01-16,Saint Christine,1,1,0,3060,464.75
2024-01-16,San Pedro,1,1,0,1465,224.23
2024-01-16,San Isidro,1,1,0,1214,177.59
2024-01-17,Anibongan,2,1,0,1263,191.58
2024-01-17,Banahao,2,1,0,2616,383.51
2024-01-17,Ban-as,2,1,0,1757,276.23
2024-01-17,Baucawe,2,1,0,1497,243.19
2024-01-17,Diatagon,2,1,0,7550,1182.98
2024-01-17,Ganayon,2,1,0,1257,186.91
2024-01-17,Liatimco,2,1,0,2082,314.83
2024-01-17,Manyayay,2,1,0,2547,408.28
2024-01-17,Payasan,2,1,0,2623,428.7
2024-01-17,Poblacion,2,1,0,4600,715.7
2024-01-17,Saint Christine,2,1,0,3060,472.94
2024-01-17,San Pedro,2,1,0,1465,218.39
2024-01-17,San Isidro,2,1,0,1214,173.49
2024-01-18,Anibongan,3,1,0,1263,189.56
2024-01-18,Banahao,3,1,0,2616,424.37
2024-01-18,Ban-as,3,1,0,1757,256.43
2024-01-18,Baucawe,3,1,0,1497,240.52
2024-01-18,Diatagon,3,1,0,7549,1182.23
2024-01-18,Ganayon,3,1,0,1257,181.79
2024-01-18,Liatimco,3,1,0,2082,329.05
2024-01-18,Manyayay,3,1,0,2547,377.91
2024-01-18,Payasan,3,1,0,2623,400.09
2024-01-18,Poblacion,3,1,0,4600,678.87
2024-01-18,Saint Christine,3,1,0,3060,448.26
2024-01-18,San Pedro,3,1,0,1465,210.86
2024-01-18,San Isidro,3,1,0,1214,198.75
2024-01-19,Anibongan,4,1,0,1263,182.71
2024-01-19,Banahao,4,1,0,2616,379.79
2024-01-19,Ban-as,4,1,0,1757,280.48
2024-01-19,Baucawe,4,1,0,1497,227.43
2024-01-19,Diatagon,4,1,0,7549,1109.51
2024-01-19,Ganayon,4,1,0,1257,191.9
2024-01-19,Liatimco,4,1,0,2081,323.02
2024-01-19,Manyayay,4,1,0,2547,411.67
2024-01-19,Payasan,4,1,0,2622,420.19
2024-01-19,Poblacion,4,1,0,4600,731.15
2024-01-19,Saint Christine,4,1,0,3060,493.33
2024-01-19,San Pedro,4,1,0,1465,225.68
2024-01-19,San Isidro,4,1,0,1214,174.96
2024-01-20,Anibongan,5,1,1,1263,214.94
2024-01-20,Banahao,5,1,1,2616,438.77
2024-01-20,Ban-as,5,1,1,1757,311.41
2024-01-20,Baucawe,5,1,1,1496,246.28
2024-01-20,Diatagon,5,1,1,7549,1264.93
2024-01-20,Ganayon,5,1,1,1257,211.84
2024-01-20,Liatimco,5,1,1,2081,336.37
2024-01-20,Manyayay,5,1,1,2547,423.74
2024-01-20,Payasan,5,1,1,2622,420.32
2024-01-20,Poblacion,5,1,1,4600,721.93
2024-01-20,Saint Christine,5,1,1,3060,534.53
2024-01-20,San Pedro,5,1,1,1465,240.36
2024-01-20,San Isidro,5,1,1,1214,212.27
2024-01-21,Anibongan,6,1,1,1263,197.18
2024-01-21,Banahao,6,1,1,2615,438.91
2024-01-21,Ban-as,6,1,1,1757,286.73
2024-01-21,Baucawe,6,1,1,1496,247.4
2024-01-21,Diatagon,6,1,1,7549,1313.98
2024-01-21,Ganayon,6,1,1,1257,214.57
2024-01-21,Liatimco,6,1,1,2081,348.72
2024-01-21,Manyayay,6,1,1,2547,423.5
2024-01-21,Payasan,6,1,1,2622,430.3
2024-01-21,Poblacion,6,1,1,4600,715.31
2024-01-21,Saint Christine,6,1,1,3060,535.88
2024-01-21,San Pedro,6,1,1,1465,255.99
2024-01-21,San Isidro,6,1,1,1214,201.15
2024-01-22,Anibongan,0,1,0,1263,204.59
2024-01-22,Banahao,0,1,0,2615,387.56
2024-01-22,Ban-as,0,1,0,1757,265.24
2024-01-22,Baucawe,0,1,0,1496,218.59
2024-01-22,Diatagon,0,1,0,7548,1141.6
2024-01-22,Ganayon,0,1,0,1257,205.92
2024-01-22,Liatimco,0,1,0,2081,332.43
2024-01-22,Manyayay,0,1,0,2547,400.01
2024-01-22,Payasan,0,1,0,2622,425.38
2024-01-22,Poblacion,0,1,0,4600,745.74
2024-01-22,Saint Christine,0,1,0,3060,447.56
2024-01-22,San Pedro,0,1,0,1465,214.05
2024-01-22,San Isidro,0,1,0,1214,177.28
2024-01-23,Anibongan,1,1,0,1263,196.17
2024-01-23,Banahao,1,1,0,2615,427.92
2024-01-23,Ban-as,1,1,0,1757,251.85
2024-01-23,Baucawe,1,1,0,1496,222.57
2024-01-23,Diatagon,1,1,0,7548,1178.14
2024-01-23,Ganayon,1,1,0,1257,180.45
2024-01-23,Liatimco,1,1,0,2081,340.95
2024-01-23,Manyayay,1,1,0,2547,366.74
2024-01-23,Payasan,1,1,0,2622,418.92
2024-01-23,Poblacion,1,1,0,4599,712.41
2024-01-23,Saint Christine,1,1,0,3060,472.69
2024-01-23,San Pedro,1,1,0,1465,212.57
2024-01-23,San Isidro,1,1,0,1214,182.38
2024-01-24,Anibongan,2,1,0,1263,191.98
2024-01-24,Banahao,2,1,0,2615,417.45
2024-01-24,Ban-as,2,1,0,1757,253.37
2024-01-24,Baucawe,2,1,0,1496,220.02
2024-01-24,Diatagon,2,1,0,7548,1110.68
2024-01-24,Ganayon,2,1,0,1257,201.03
2024-01-24,Liatimco,2,1,0,2081,312.68
2024-01-24,Manyayay,2,1,0,2547,401.05
2024-01-24,Payasan,2,1,0,2622,412.63
2024-01-24,Poblacion,2,1,0,4599,681.86
2024-01-24,Saint Christine,2,1,0,3060,498.63
2024-01-24,San Pedro,2,1,0,1465,229.41
2024-01-24,San Isidro,2,1,0,1214,177.01
2024-01-25,Anibongan,3,1,0,1263,188.22
2024-01-25,Banahao,3,1,0,2615,408.65
2024-01-25,Ban-as,3,1,0,1757,261.93
2024-01-25,Baucawe,3,1,0,1496,235.85
2024-01-25,Diatagon,3,1,0,7548,1230.41
2024-01-25,Ganayon,3,1,0,1257,189.15
2024-01-25,Liatimco,3,1,0,2081,336.88
2024-01-25,Manyayay,3,1,0,2547,413.93
2024-01-25,Payasan,3,1,0,2622,398.73
2024-01-25,Poblacion,3,1,0,4599,717.41
2024-01-25,Saint Christine,3,1,0,3059,450.33
2024-01-25,San Pedro,3,1,0,1465,232.83
2024-01-25,San Isidro,3,1,0,1214,178.69
2024-01-26,Anibongan,4,1,0,1263,207.26
2024-01-26,Banahao,4,1,0,2615,428.31
2024-01-26,Ban-as,4,1,0,1757,262.35
2024-01-26,Baucawe,4,1,0,1496,244.22
2024-01-26,Diatagon,4,1,0,7547,1212.3
2024-01-26,Ganayon,4,1,0,1257,186.03
2024-01-26,Liatimco,4,1,0,2081,339.33
2024-01-26,Manyayay,4,1,0,2547,364.14
2024-01-26,Payasan,4,1,0,2622,416.38
2024-01-26,Poblacion,4,1,0,4599,665.21
2024-01-26,Saint Christine,4,1,0,3059,443.53
2024-01-26,San Pedro,4,1,0,1465,215.03
2024-01-26,San Isidro,4,1,0,1214,187.59
2024-01-27,Anibongan,5,1,1,1263,211.22
2024-01-27,Banahao,5,1,1,2615,433.98
2024-01-27,Ban-as,5,1,1,1757,276.61
2024-01-27,Baucawe,5,1,1,1496,257.44
2024-01-27,Diatagon,5,1,1,7547,1184.55
2024-01-27,Ganayon,5,1,1,1257,205.2
2024-01-27,Liatimco,5,1,1,2081,325.56
2024-01-27,Manyayay,5,1,1,2547,443.44
2024-01-27,Payasan,5,1,1,2622,463.31
2024-01-27,Poblacion,5,1,1,4599,789.89
2024-01-27,Saint Christine,5,1,1,3059,502.74
2024-01-27,San Pedro,5,1,1,1465,248.09
2024-01-27,San Isidro,5,1,1,1214,206.66
2024-01-28,Anibongan,6,1,1,1263,212.41
2024-01-28,Banahao,6,1,1,2615,453.5
2024-01-28,Ban-as,6,1,1,1757,276.06
2024-01-28,Baucawe,6,1,1,1496,247.4
2024-01-28,Diatagon,6,1,1,7547,1270.1
2024-01-28,Ganayon,6,1,1,1257,209.55
2024-01-28,Liatimco,6,1,1,2081,350.96
2024-01-28,Manyayay,6,1,1,2547,393.23
2024-01-28,Payasan,6,1,1,2622,432.63
2024-01-28,Poblacion,6,1,1,4599,793.66
2024-01-28,Saint Christine,6,1,1,3059,496.17
2024-01-28,San Pedro,6,1,1,1465,227.63
2024-01-28,San Isidro,6,1,1,1214,205.13
2024-01-29,Anibongan,0,1,0,1263,195.67
2024-01-29,Banahao,0,1,0,2615,391.78
2024-01-29,Ban-as,0,1,0,1757,269.33
2024-01-29,Baucawe,0,1,0,1496,240.61
2024-01-29,Diatagon,0,1,0,7547,1151.23
2024-01-29,Ganayon,0,1,0,1257,185.44
2024-01-29,Liatimco,0,1,0,2081,318.42
2024-01-29,Manyayay,0,1,0,2546,397.2
2024-01-29,Payasan,0,1,0,2622,403.71
2024-01-29,Poblacion,0,1,0,4599,731.8
2024-01-29,Saint Christine,0,1,0,3059,487.19
2024-01-29,San Pedro,0,1,0,1465,236.65
2024-01-29,San Isidro,0,1,0,1214,191.58
2024-01-30,Anibongan,1,1,0,1263,194.52
2024-01-30,Banahao,1,1,0,2615,400.85
2024-01-30,Ban-as,1,1,0,1757,280.24
2024-01-30,Baucawe,1,1,0,1496,227.89
2024-01-30,Diatagon,1,1,0,7547,1116.79
2024-01-30,Ganayon,1,1,0,1257,202.56
2024-01-30,Liatimco,1,1,0,2081,334.5
2024-01-30,Manyayay,1,1,0,2546,399.11
2024-01-30,Payasan,1,1,0,2622,419.94
2024-01-30,Poblacion,1,1,0,4598,670.75
2024-01-30,Saint Christine,1,1,0,3059,472.51
2024-01-30,San Pedro,1,1,0,1465,211.98
2024-01-30,San Isidro,1,1,0,1214,191.77
2024-01-31,Anibongan,2,1,0,1263,180.65
2024-01-31,Banahao,2,1,0,2615,408.51
2024-01-31,Ban-as,2,1,0,1757,258.64
2024-01-31,Baucawe,2,1,0,1496,235.29
2024-01-31,Diatagon,2,1,0,7546,1154.56
2024-01-31,Ganayon,2,1,0,1257,185.78
2024-01-31,Liatimco,2,1,0,2081,323.41
2024-01-31,Manyayay,2,1,0,2546,408.16
2024-01-31,Payasan,2,1,0,2622,414.96
2024-01-31,Poblacion,2,1,0,4598,749.99
2024-01-31,Saint Christine,2,1,0,3059,496.63
2024-01-31,San Pedro,2,1,0,1465,224.12
2024-01-31,San Isidro,2,1,0,1214,195.57
2024-02-01,Anibongan,3,2,0,1263,204.91
2024-02-01,Banahao,3,2,0,2615,420.35
2024-02-01,Ban-as,3,2,0,1757,272.14
2024-02-01,Baucawe,3,2,0,1496,218.23
2024-02-01,Diatagon,3,2,0,7546,1178.79
2024-02-01,Ganayon,3,2,0,1257,204.03
2024-02-01,Liatimco,3,2,0,2081,320.34
2024-02-01,Manyayay,3,2,0,2546,394.68
2024-02-01,Payasan,3,2,0,2621,378.87
2024-02-01,Poblacion,3,2,0,4598,672.09
2024-02-01,Saint Christine,3,2,0,3059,464.14
2024-02-01,San Pedro,3,2,0,1465,220.41
2024-02-01,San Isidro,3,2,0,1214,174.2
2024-02-02,Anibongan,4,2,0,1263,198.49
2024-02-02,Banahao,4,2,0,2615,410.8
2024-02-02,Ban-as,4,2,0,1757,284.52
2024-02-02,Baucawe,4,2,0,1496,220.89
2024-02-02,Diatagon,4,2,0,7546,1226.07
2024-02-02,Ganayon,4,2,0,1257,198.54
2024-02-02,Liatimco,4,2,0,2081,321.12
2024-02-02,Manyayay,4,2,0,2546,371.85
2024-02-02,Payasan,4,2,0,2621,379.1
2024-02-02,Poblacion,4,2,0,4598,697.66
2024-02-02,Saint Christine,4,2,0,3059,437.08
2024-02-02,San Pedro,4,2,0,1465,211.51
2024-02-02,San Isidro,4,2,0,1214,191.64
2024-02-03,Anibongan,5,2,1,1263,212.63
2024-02-03,Banahao,5,2,1,2614,447.54
2024-02-03,Ban-as,5,2,1,1756,275.92
2024-02-03,Baucawe,5,2,1,1496,263.81
2024-02-03,Diatagon,5,2,1,7546,1203.44
2024-02-03,Ganayon,5,2,1,1257,209.24
2024-02-03,Liatimco,5,2,1,2081,345.31
2024-02-03,Manyayay,5,2,1,2546,444.36
2024-02-03,Payasan,5,2,1,2621,447.81
2024-02-03,Poblacion,5,2,1,4598,811.21
2024-02-03,Saint Christine,5,2,1,3059,509.84
2024-02-03,San Pedro,5,2,1,1465,255.94
2024-02-03,San Isidro,5,2,1,1214,211.95
2024-02-04,Anibongan,6,2,1,1263,196.2
2024-02-04,Banahao,6,2,1,2614,416.78
2024-02-04,Ban-as,6,2,1,1756,294.43
2024-02-04,Baucawe,6,2,1,1496,233.56
2024-02-04,Diatagon,6,2,1,7545,1166.36
2024-02-04,Ganayon,6,2,1,1257,212.74
2024-02-04,Liatimco,6,2,1,2080,346.04
2024-02-04,Manyayay,6,2,1,2546,395.3
2024-02-04,Payasan,6,2,1,2621,408.71
2024-02-04,Poblacion,6,2,1,4598,742.78
2024-02-04,Saint Christine,6,2,1,3058,497.16
2024-02-04,San Pedro,6,2,1,1465,257.94
2024-02-04,San Isidro,6,2,1,1214,205.45
2024-02-05,Anibongan,0,2,0,1262,181.05
2024-02-05,Banahao,0,2,0,2614,425.16
2024-02-05,Ban-as,0,2,0,1756,279.59
2024-02-05,Baucawe,0,2,0,1496,224.89
2024-02-05,Diatagon,0,2,0,7545,1166.05
2024-02-05,Ganayon,0,2,0,1257,202.94
2024-02-05,Liatimco,0,2,0,2080,309.93
2024-02-05,Manyayay,0,2,0,2546,393.95
2024-02-05,Payasan,0,2,0,2621,411.17
2024-02-05,Poblacion,0,2,0,4598,687.58
2024-02-05,Saint Christine,0,2,0,3058,477.53
2024-02-05,San Pedro,0,2,0,1465,221.04
2024-02-05,San Isidro,0,2,0,1214,195.49
2024-02-06,Anibongan,1,2,0,1262,204.99
2024-02-06,Banahao,1,2,0,2614,396.39
2024-02-06,Ban-as,1,2,0,1756,285.49
2024-02-06,Baucawe,1,2,0,1496,217.12
2024-02-06,Diatagon,1,2,0,7545,1137.58
2024-02-06,Ganayon,1,2,0,1257,202.57
2024-02-06,Liatimco,1,2,0,2080,311.66
2024-02-06,Manyayay,1,2,0,2546,367.18
2024-02-06,Payasan,1,2,0,2621,376.31
2024-02-06,Poblacion,1,2,0,4597,737.71
2024-02-06,Saint Christine,1,2,0,3058,449.29
2024-02-06,San Pedro,1,2,0,1464,228.83
2024-02-06,San Isidro,1,2,0,1214,183.21
2024-02-07,Anibongan,2,2,0,1262,183.02
2024-02-07,Banahao,2,2,0,2614,374.22
2024-02-07,Ban-as,2,2,0,1756,264.2
2024-02-07,Baucawe,2,2,0,1496,231.01
2024-02-07,Diatagon,2,2,0,7545,1108.07
2024-02-07,Ganayon,2,2,0,1257,180.0
2024-02-07,Liatimco,2,2,0,2080,331.84
2024-02-07,Manyayay,2,2,0,2546,404.56
2024-02-07,Payasan,2,2,0,2621,414.4
2024-02-07,Poblacion,2,2,0,4597,727.96
2024-02-07,Saint Christine,2,2,0,3058,448.2
2024-02-07,San Pedro,2,2,0,1464,215.54
2024-02-07,San Isidro,2,2,0,1214,194.94
2024-02-08,Anibongan,3,2,0,1262,201.38
2024-02-08,Banahao,3,2,0,2614,395.95
2024-02-08,Ban-as,3,2,0,1756,273.4
2024-02-08,Baucawe,3,2,0,1496,213.97
2024-02-08,Diatagon,3,2,0,7544,1199.3
2024-02-08,Ganayon,3,2,0,1256,200.7
2024-02-08,Liatimco,3,2,0,2080,304.9
2024-02-08,Manyayay,3,2,0,2546,406.48
2024-02-08,Payasan,3,2,0,2621,425.5
2024-02-08,Poblacion,3,2,0,4597,708.37
2024-02-08,Saint Christine,3,2,0,3058,500.62
2024-02-08,San Pedro,3,2,0,1464,212.99
2024-02-08,San Isidro,3,2,0,1214,189.0
2024-02-09,Anibongan,4,2,0,1262,182.12
2024-02-09,Banahao,4,2,0,2614,393.64
2024-02-09,Ban-as,4,2,0,1756,264.86
2024-02-09,Baucawe,4,2,0,1496,245.55
2024-02-09,Diatagon,4,2,0,7544,1105.33
2024-02-09,Ganayon,4,2,0,1256,186.78
2024-02-09,Liatimco,4,2,0,2080,333.45
2024-02-09,Manyayay,4,2,0,2546,379.81
2024-02-09,Payasan,4,2,0,2621,376.7
2024-02-09,Poblacion,4,2,0,4597,753.27
2024-02-09,Saint Christine,4,2,0,3058,477.77
2024-02-09,San Pedro,4,2,0,1464,227.61
2024-02-09,San Isidro,4,2,0,1214,188.99
2024-02-10,Anibongan,5,2,1,1262,202.56
2024-02-10,Banahao,5,2,1,2614,439.57
2024-02-10,Ban-as,5,2,1,1756,293.43
2024-02-10,Baucawe,5,2,1,1496,256.66
2024-02-10,Diatagon,5,2,1,7544,1288.9
2024-02-10,Ganayon,5,2,1,1256,211.79
2024-02-10,Liatimco,5,2,1,2080,353.11
2024-02-10,Manyayay,5,2,1,2546,445.64
2024-02-10,Payasan,5,2,1,2621,409.8
2024-02-10,Poblacion,5,2,1,4597,763.11
2024-02-10,Saint Christine,5,2,1,3058,475.88
2024-02-10,San Pedro,5,2,1,1464,231.94
2024-02-10,San Isidro,5,2,1,1213,201.49
2024-02-11,Anibongan,6,2,1,1262,223.11
2024-02-11,Banahao,6,2,1,2614,460.61
